procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 187228  74364   1692  72580   24    0   292     0 1195 3377 35  8 57  0  0
 1  0 187228  74364   1692  72580  192  536  1064   992 1276 3490 37 12 51  0  0
 3  0 187228  74364   1692  72580  420    0  9728    32 1601 4072 36 12 52  0  0
 1  0 187228  74364   1692  72580 2888    0  4304     0 1735 4563 37 14 47  2  0
 2  0 187228  74364   1692  72580  356    0   452     0 1247 3406 38  9 53  0  0
 1  0 187228  74364   1692  72580  584 3396  6728  3748 1940 3894 33 14 53  0  0
 2  0 187228  74364   1692  72580    4    0  1160     0 1166 3031 31  9 59  0  0
 1  0 187228  74364   1692  72580  688  964 10800  1252 1881 4154 35 16 48  1  0
 1  0 187228  74364   1692  72580   52    0  5640     0 1669 3966 35 12 53  0  0
 3  0 187228  74364   1692  72580  436    0   560     0 1465 3710 36  9 55  0  0
 6  0 187228  74364   1692  72580  692  496  3404   896 1743 4114 36 17 47  0  0
 1  0 187228  74364   1692  72580    0    0  2896     0 1783 4208 40 11 49  0  0
 7  0 187228  74364   1692  72580  476    0   656    32 1586 3611 37 14 49  0  0
 2  0 187228  74364   1692  72580  252    0   424     0 1476 3321 41 10 48  0  0
 5  0 187228  74364   1692  72580   80    0   148     0 1568 3752 35 13 51  1  0
 1  0 187228  74364   1692  72580    0    0    44    20 1576 3731 33 13 54  0  0
 2  0 187228  74364   1692  72580   88    0    88     0 1442 3319 34 12 54  0  0
 2  0 187228  74364   1692  72580   52    0   300    16 1611 3784 40 10 50  0  0
 1  0 187228  74364   1692  72580 1052    0  1052     0 1586 3693 38  8 54  0  0
 1  0 187228  74364   1692  72580   64    0   132     0 1499 3811 31 13 56  0  0
 1  0 187228  74364   1692  72580 1304 3124  6704  4100 2107 4065 42 10 48  0  0
 1  0 187228  74364   1692  72580  156    0   692     0 1424 3525 40  9 51  0  0
 2  0 187228  74364   1692  72580  832    0   892    32 1404 3668 45 11 44  1  0
 8  0 187228  74364   1692  72580   12  884  5624  1228 1505 3353 33 13 54  0  0
 1  0 187228  74364   1692  72580 1544    0  4120     0 1599 4061 35 11 54  0  0
 2  0 187228  74364   1692  72580    4    0  1512     0 1261 3419 35 12 53  0  0
 1  0 187228  74364   1692  72580  176    0   412     0 1163 3202 31  7 62  0  0
 1  0 187228  74364   1692  72580  612    0  2048    32 1457 4024 37 10 52  1  0
 1  0 187228  74364   1692  72580  328 2172  2700  2772 1552 3609 31 10 59  0  0
 1  0 187228  74364   1692  72580 1152    0  6344     0 1530 3980 29  7 64  0  0
MEDIA
NR:  144 CPU:  49.6127
